,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,2.0,8.0,2.0,3.0,4.0,5.0,13.0,3.0,6.0,4.0,5.0,2.0,3.0,6.0,6.0,7.0,8.0,4.0,2.0,5.0,8.0,8.0,5.0,12.0,2.0,3.0,5.0,9.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,52.0,29.0,24.0,28.0,29.0,29.0,37.0,46.0,35.0,20.0,23.0,24.0,27.0,32.0,30.0,32.0,25.0,29.0,33.0,26.0,40.0,38.0,37.0,25.0,30.0,20.0,16.0,35.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,64.0,57.0,40.0,50.0,44.0,57.0,57.0,79.0,68.0,36.0,47.0,53.0,69.0,79.0,81.0,78.0,39.0,40.0,64.0,47.0,64.0,77.0,62.0,37.0,66.0,45.0,66.0,53.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,2.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,2.0,2.0
12,27.0,13.0,40.0,57.0,53.0,62.0,57.0,20.0,21.0,40.0,40.0,38.0,56.0,50.0,30.0,25.0,44.0,61.0,41.0,48.0,29.0,31.0,21.0,35.0,39.0,39.0,37.0,37.0
13,1.0,2.0,4.0,1.0,1.0,3.0,10.0,4.0,5.0,0.0,4.0,6.0,5.0,4.0,8.0,5.0,4.0,5.0,7.0,4.0,6.0,8.0,4.0,1.0,2.0,1.0,2.0,6.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
16,9.0,5.0,3.0,3.0,6.0,5.0,4.0,7.0,8.0,2.0,1.0,7.0,4.0,5.0,9.0,6.0,2.0,4.0,2.0,7.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0
17,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
18,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
21,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,14.0,9.0,15.0,5.0,6.0,5.0,5.0,15.0,14.0,8.0,9.0,3.0,6.0,8.0,25.0,11.0,6.0,8.0,10.0,13.0,11.0,8.0,10.0,8.0,10.0,9.0,7.0,8.0
24,8.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,4.0,5.0,15.0,7.0,14.0,7.0,8.0,2.0,4.0,9.0,10.0,7.0,9.0,3.0,4.0,6.0,9.0,6.0,5.0,5.0
25,1.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,4.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
32,7.0,16.0,12.0,16.0,28.0,19.0,11.0,17.0,12.0,20.0,19.0,18.0,24.0,20.0,8.0,17.0,19.0,19.0,19.0,16.0,18.0,6.0,12.0,9.0,15.0,21.0,29.0,19.0
33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
35,5.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,3.0,4.0,1.0,6.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,0.0,3.0,2.0,3.0,3.0
